year_team,po_year,team_full,mean_age,mean_height,mean_weight,PtsSeason,OppPtsSeason,PtsDiff,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,playoffs
2002_Golden State Warriors,2002,Golden State Warriors,26.571428571428573,199.57142857142858,100.53542685714285,97.7,103.1,-5.3999999999999915,46.7,20.8,7.9,6.4,16.2,23.0,30.4,16.3,False
2002_Houston Rockets,2002,Houston Rockets,26.785714285714285,201.74857142857144,100.27623142857144,92.3,97.2,-4.900000000000006,41.9,18.1,6.5,5.4,13.1,18.0,29.4,12.5,False
2002_Indiana Pacers,2002,Indiana Pacers,25.133333333333333,205.06266666666667,102.6932288,96.8,96.5,0.29999999999999716,42.6,22.9,8.0,5.2,14.7,23.0,31.5,11.2,True
2002_Los Angeles Clippers,2002,Los Angeles Clippers,26.0625,198.59625,100.3288805,95.7,96.1,-0.3999999999999915,43.4,20.9,6.2,6.6,14.0,19.8,30.2,13.2,False
2002_Los Angeles Lakers,2002,Los Angeles Lakers,28.357142857142858,201.02285714285716,103.93736685714285,101.3,94.1,7.200000000000003,44.5,22.3,7.5,5.8,12.3,22.5,32.0,12.4,True
2002_Memphis Grizzlies,2002,Memphis Grizzlies,26.941176470588236,197.52235294117648,96.00141270588236,89.9,97.3,-7.3999999999999915,41.4,21.7,7.9,5.9,15.7,19.2,29.4,12.0,False
2002_Miami Heat,2002,Miami Heat,28.88235294117647,200.95882352941177,100.99092470588235,87.2,88.7,-1.5,42.0,20.3,6.7,5.5,14.1,22.5,31.0,11.0,False
2002_Milwaukee Bucks,2002,Milwaukee Bucks,28.785714285714285,201.3857142857143,102.28499599999999,97.5,97.7,-0.20000000000000284,41.4,22.5,7.3,4.7,13.6,21.8,31.2,10.3,False
2002_Minnesota Timberwolves,2002,Minnesota Timberwolves,27.533333333333335,199.47466666666665,99.8809584,99.3,96.0,3.299999999999997,44.3,24.0,6.4,5.1,13.1,21.4,31.4,13.0,True
2002_New Jersey Nets,2002,New Jersey Nets,26.214285714285715,202.29285714285714,102.25259657142858,96.2,92.0,4.200000000000003,43.2,23.7,8.6,5.9,14.2,21.8,30.6,12.6,True
2002_New York Knicks,2002,New York Knicks,30.142857142857142,199.57142857142858,99.14225142857143,91.6,95.6,-4.0,40.7,21.0,6.8,3.5,14.1,22.0,30.0,10.7,False
2002_Orlando Magic,2002,Orlando Magic,29.0625,200.66,99.450046,100.5,98.9,1.5999999999999943,41.2,21.9,8.0,4.6,13.2,21.0,29.8,11.4,True
2002_Philadelphia 76ers,2002,Philadelphia 76ers,27.842105263157894,201.06105263157895,101.50911494736842,91.0,89.4,1.5999999999999943,44.0,19.9,8.6,4.4,14.3,20.0,30.8,13.3,True
2002_Phoenix Suns,2002,Phoenix Suns,26.8,201.50666666666666,101.54412906666667,95.1,95.8,-0.7000000000000028,42.7,22.4,8.2,4.9,14.2,21.8,29.6,13.1,False
2002_Portland Trail Blazers,2002,Portland Trail Blazers,29.066666666666666,199.30533333333332,100.57646613333333,96.6,93.7,2.8999999999999915,43.1,23.4,8.6,4.4,13.6,19.9,29.9,13.2,True
2002_Sacramento Kings,2002,Sacramento Kings,28.0,199.68307692307692,99.58088984615385,104.6,97.0,7.599999999999994,45.3,23.3,8.8,4.6,13.5,19.8,32.9,12.4,True
